    Xi (deg)   Xn       delMag   No. in bin
    -0.060    -0.120    -0.011       0
    -0.040    -0.120    -0.013       0
    -0.020    -0.120    -0.013       0
     0.000    -0.120    -0.000       0
     0.020    -0.120     0.006       0
     0.040    -0.120     0.006       0
     0.060    -0.120     0.003       0
     0.080    -0.120    -0.001       0
     0.100    -0.120     0.002    2558
     0.120    -0.120     0.007   13311
     0.140    -0.120     0.011   12621
     0.160    -0.120     0.009   12768
     0.180    -0.120     0.004   13392
     0.200    -0.120    -0.001   14582
     0.220    -0.120    -0.005   14075
     0.240    -0.120    -0.008   13742
     0.260    -0.120    -0.011   14313
     0.280    -0.120    -0.015   14131
     0.300    -0.120    -0.021   14201
     0.320    -0.120    -0.025   14265
     0.340    -0.120    -0.030    4422
    -0.340    -0.100     0.005    1265
    -0.320    -0.100     0.005    3555
    -0.300    -0.100     0.004    4073
    -0.280    -0.100     0.004    4000
    -0.260    -0.100     0.003    3443
    -0.240    -0.100     0.003    3845
    -0.220    -0.100     0.003    3843
    -0.200    -0.100     0.004    3972
    -0.180    -0.100     0.005    3859
    -0.160    -0.100     0.007    4027
    -0.140    -0.100     0.005    4357
    -0.120    -0.100    -0.002    4112
    -0.100    -0.100    -0.008     706
    -0.080    -0.100    -0.011       0
    -0.060    -0.100    -0.012       0
    -0.040    -0.100    -0.013       0
    -0.020    -0.100    -0.013       0
     0.000    -0.100    -0.000       0
     0.020    -0.100     0.006       0
     0.040    -0.100     0.006       0
     0.060    -0.100     0.003       0
     0.080    -0.100    -0.002       0
     0.100    -0.100    -0.002     370
     0.120    -0.100    -0.001    1985
     0.140    -0.100     0.003    2205
     0.160    -0.100     0.004    2282
     0.180    -0.100    -0.001    2498
     0.200    -0.100    -0.006    2829
     0.220    -0.100    -0.012    2262
     0.240    -0.100    -0.014    2364
     0.260    -0.100    -0.017    2605
     0.280    -0.100    -0.021    2990
     0.300    -0.100    -0.027    2566
     0.320    -0.100    -0.033    2865
     0.340    -0.100    -0.039     910
    -0.340    -0.080    -0.004       0
    -0.320    -0.080    -0.005       0
    -0.300    -0.080    -0.005       0
    -0.280    -0.080    -0.005       0
    -0.260    -0.080    -0.005       0
    -0.240    -0.080    -0.005       0
    -0.220    -0.080    -0.006       0
    -0.200    -0.080    -0.006       0
    -0.180    -0.080    -0.005       0
    -0.160    -0.080    -0.004       0
    -0.140    -0.080    -0.005       0
    -0.120    -0.080    -0.009       0
    -0.100    -0.080    -0.012       0
    -0.080    -0.080    -0.013       0
    -0.060    -0.080    -0.013       0
    -0.040    -0.080    -0.013       0
    -0.020    -0.080    -0.013       0
     0.000    -0.080    -0.000       0
     0.020    -0.080     0.006       0
     0.040    -0.080     0.006       0
     0.060    -0.080     0.004       0
     0.080    -0.080     0.001       0
     0.100    -0.080    -0.001       0
     0.120    -0.080    -0.003       0
     0.140    -0.080    -0.001       0
     0.160    -0.080     0.001       0
     0.180    -0.080    -0.002       0
     0.200    -0.080    -0.006       0
     0.220    -0.080    -0.010       0
     0.240    -0.080    -0.011       0
     0.260    -0.080    -0.013       0
     0.280    -0.080    -0.016       0
     0.300    -0.080    -0.020       0
     0.320    -0.080    -0.025       0
     0.340    -0.080    -0.030       0
    -0.340    -0.060    -0.008       0
