    Xi (deg)   Xn       delMag   No. in bin
    -0.240    -0.200     0.001    5556
    -0.220    -0.200     0.000    5378
    -0.200    -0.200     0.000    5477
    -0.180    -0.200     0.005    6310
    -0.160    -0.200     0.008    6749
    -0.140    -0.200     0.007    6692
    -0.120    -0.200     0.002    6318
    -0.100    -0.200    -0.004    1106
    -0.080    -0.200    -0.009       0
    -0.060    -0.200    -0.012       0
    -0.040    -0.200    -0.015       0
    -0.020    -0.200    -0.015       0
     0.000    -0.200    -0.000       0
     0.020    -0.200    -0.002       0
     0.040    -0.200    -0.002       0
     0.060    -0.200    -0.006       0
     0.080    -0.200    -0.009       0
     0.100    -0.200     0.001     803
     0.120    -0.200     0.013    6648
     0.140    -0.200     0.018    5875
     0.160    -0.200     0.013    6852
     0.180    -0.200     0.009    6030
     0.200    -0.200     0.006    6556
     0.220    -0.200     0.002    5901
     0.240    -0.200    -0.005    6356
     0.260    -0.200    -0.013    6429
     0.280    -0.200    -0.020    7920
     0.300    -0.200    -0.024    7339
     0.320    -0.200    -0.025    8655
     0.340    -0.200    -0.026    2578
    -0.340    -0.180     0.006    1878
    -0.320    -0.180     0.005    5744
    -0.300    -0.180     0.004    5718
    -0.280    -0.180     0.004    6985
    -0.260    -0.180     0.003    6221
    -0.240    -0.180     0.002    5572
    -0.220    -0.180     0.003    6342
    -0.200    -0.180     0.006    6908
    -0.180    -0.180     0.010    6505
    -0.160    -0.180     0.012    6153
    -0.140    -0.180     0.009    5688
    -0.120    -0.180     0.004    6742
    -0.100    -0.180    -0.000    1172
    -0.080    -0.180    -0.006       0
    -0.060    -0.180    -0.010       0
    -0.040    -0.180    -0.015       0
    -0.020    -0.180    -0.015       0
     0.000    -0.180    -0.000       0
     0.020    -0.180    -0.002       0
     0.040    -0.180    -0.002       0
     0.060    -0.180    -0.004       0
     0.080    -0.180    -0.005       0
     0.100    -0.180     0.003     774
     0.120    -0.180     0.013    7189
     0.140    -0.180     0.017    6623
     0.160    -0.180     0.013    6615
     0.180    -0.180     0.009    6071
     0.200    -0.180     0.006    6478
     0.220    -0.180     0.002    9114
     0.240    -0.180    -0.005    6625
     0.260    -0.180    -0.013    6620
     0.280    -0.180    -0.018    6618
     0.300    -0.180    -0.023    7338
     0.320    -0.180    -0.024    8709
     0.340    -0.180    -0.025    2387
    -0.340    -0.160     0.010    1431
    -0.320    -0.160     0.008    6300
    -0.300    -0.160     0.006    5917
    -0.280    -0.160     0.007    6726
    -0.260    -0.160     0.006    5415
    -0.240    -0.160     0.006    5401
    -0.220    -0.160     0.009    5747
    -0.200    -0.160     0.013    5997
    -0.180    -0.160     0.015    6022
    -0.160    -0.160     0.015    5426
    -0.140    -0.160     0.010    5434
    -0.120    -0.160     0.006    5366
    -0.100    -0.160     0.002    1157
    -0.080    -0.160    -0.004       0
    -0.060    -0.160    -0.009       0
    -0.040    -0.160    -0.015       0
    -0.020    -0.160    -0.015       0
     0.000    -0.160    -0.000       0
     0.020    -0.160    -0.002       0
     0.040    -0.160    -0.002       0
     0.060    -0.160    -0.002       0
     0.080    -0.160    -0.001       0
     0.100    -0.160     0.005     804
     0.120    -0.160     0.012    6862
     0.140    -0.160     0.014    6592
     0.160    -0.160     0.010    6305
     0.180    -0.160     0.007    6968
     0.200    -0.160     0.006    7327
     0.220    -0.160     0.002    6894
     0.240    -0.160    -0.004    8439
     0.260    -0.160    -0.011    6112
     0.280    -0.160    -0.017    7630
     0.300    -0.160    -0.022    6748
     0.320    -0.160    -0.024    7424
     0.340    -0.160    -0.025    3300
    -0.340    -0.140     0.009    1660
    -0.320    -0.140     0.008    7118
    -0.300    -0.140     0.008    5325
    -0.280    -0.140     0.010    6396
    -0.260    -0.140     0.009    5817
    -0.240    -0.140     0.010    6804
    -0.220    -0.140     0.014    6270
    -0.200    -0.140     0.019    5172
    -0.180    -0.140     0.018    6028
    -0.160    -0.140     0.017    5412
    -0.140    -0.140     0.012    5908
    -0.120    -0.140     0.010    5201
    -0.100    -0.140     0.008     692
    -0.080    -0.140     0.001       0
    -0.060    -0.140    -0.007       0
    -0.040    -0.140    -0.015       0
    -0.020    -0.140    -0.015       0
     0.000    -0.140    -0.000       0
     0.020    -0.140    -0.002       0
     0.040    -0.140    -0.002       0
     0.060    -0.140    -0.001       0
     0.080    -0.140     0.001       0
     0.100    -0.140     0.005     780
     0.120    -0.140     0.008    6840
     0.140    -0.140     0.010    5961
     0.160    -0.140     0.007    6076
     0.180    -0.140     0.004    6098
     0.200    -0.140     0.002    7299
     0.220    -0.140     0.001    6586
     0.240    -0.140    -0.004    7701
     0.260    -0.140    -0.010    7058
     0.280    -0.140    -0.016    7804
     0.300    -0.140    -0.022    7422
     0.320    -0.140    -0.025    7566
     0.340    -0.140    -0.028    2576
    -0.340    -0.120     0.006    1574
    -0.320    -0.120     0.005    6399
    -0.300    -0.120     0.003    6633
    -0.280    -0.120     0.005    6950
    -0.260    -0.120     0.002    4692
    -0.240    -0.120     0.002    6185
    -0.220    -0.120     0.005    6125
    -0.200    -0.120     0.011    4561
    -0.180    -0.120     0.013    5023
    -0.160    -0.120     0.014    5754
    -0.140    -0.120     0.010    5352
    -0.120    -0.120     0.008    5373
    -0.100    -0.120     0.005     958
    -0.080    -0.120    -0.001       0
    -0.060    -0.120    -0.008       0
    -0.040    -0.120    -0.015       0
    -0.020    -0.120    -0.015       0
     0.000    -0.120     0.000       0
     0.020    -0.120    -0.002       0
     0.040    -0.120    -0.002       0
     0.060    -0.120    -0.002       0
     0.080    -0.120    -0.004       0
     0.100    -0.120    -0.004     548
     0.120    -0.120    -0.002    6114
     0.140    -0.120     0.002    4947
     0.160    -0.120     0.003    5761
     0.180    -0.120     0.000    6683
     0.200    -0.120    -0.004    7245
     0.220    -0.120    -0.006    6825
     0.240    -0.120    -0.011    6865
     0.260    -0.120    -0.015    7483
     0.280    -0.120    -0.023    7517
     0.300    -0.120    -0.030    7650
     0.320    -0.120    -0.034    7200
     0.340    -0.120    -0.039    2195
    -0.340    -0.100     0.003     483
    -0.320    -0.100     0.001    1153
    -0.300    -0.100    -0.001    1704
    -0.280    -0.100    -0.003    1589
    -0.260    -0.100    -0.007    1160
    -0.240    -0.100    -0.009    1643
    -0.220    -0.100    -0.007    1297
    -0.200    -0.100     0.001    1506
    -0.180    -0.100     0.007    1494
    -0.160    -0.100     0.011    1412
    -0.140    -0.100     0.007    1736
    -0.120    -0.100     0.004    1500
    -0.100    -0.100    -0.001     372
    -0.080    -0.100    -0.006       0
    -0.060    -0.100    -0.011       0
    -0.040    -0.100    -0.015       0
    -0.020    -0.100    -0.015       0
     0.000    -0.100     0.000       0
     0.020    -0.100    -0.002       0
     0.040    -0.100    -0.002       0
     0.060    -0.100    -0.003       0
     0.080    -0.100    -0.008       0
     0.100    -0.100    -0.013      64
     0.120    -0.100    -0.012     931
     0.140    -0.100    -0.005    1165
     0.160    -0.100     0.000    1257
     0.180    -0.100    -0.004    1283
     0.200    -0.100    -0.011    1574
     0.220    -0.100    -0.014     950
     0.240    -0.100    -0.017     884
     0.260    -0.100    -0.020    1037
     0.280    -0.100    -0.030    1901
     0.300    -0.100    -0.037    1183
     0.320    -0.100    -0.044    1500
     0.340    -0.100    -0.050     550
    -0.340    -0.080    -0.004       0
    -0.320    -0.080    -0.006       0
    -0.300    -0.080    -0.009       0
    -0.280    -0.080    -0.011       0
    -0.260    -0.080    -0.016       0
    -0.240    -0.080    -0.018       0
    -0.220    -0.080    -0.017       0
    -0.200    -0.080    -0.010       0
    -0.180    -0.080    -0.003       0
    -0.160    -0.080     0.001       0
    -0.140    -0.080    -0.002       0
    -0.120    -0.080    -0.005       0
    -0.100    -0.080    -0.009       0
    -0.080    -0.080    -0.011       0
    -0.060    -0.080    -0.013       0
    -0.040    -0.080    -0.015       0
    -0.020    -0.080    -0.015       0
     0.000    -0.080     0.000       0
     0.020    -0.080    -0.002       0
     0.040    -0.080    -0.002       0
     0.060    -0.080    -0.002       0
     0.080    -0.080    -0.008       0
     0.100    -0.080    -0.014       0
     0.120    -0.080    -0.014       0
     0.140    -0.080    -0.008       0
     0.160    -0.080    -0.002       0
     0.180    -0.080    -0.005       0
     0.200    -0.080    -0.011       0
     0.220    -0.080    -0.014       0
     0.240    -0.080    -0.017       0
     0.260    -0.080    -0.018       0
     0.280    -0.080    -0.026       0
     0.300    -0.080    -0.030       0
     0.320    -0.080    -0.035       0
     0.340    -0.080    -0.040       0
    -0.340    -0.060    -0.009       0
    -0.320    -0.060    -0.010       0
    -0.300    -0.060    -0.012       0
    -0.280    -0.060    -0.013       0
    -0.260    -0.060    -0.015       0
    -0.240    -0.060    -0.016       0
    -0.220    -0.060    -0.016       0
    -0.200    -0.060    -0.012       0
    -0.180    -0.060    -0.009       0
    -0.160    -0.060    -0.007       0
    -0.140    -0.060    -0.008       0
    -0.120    -0.060    -0.010       0
    -0.100    -0.060    -0.013       0
    -0.080    -0.060    -0.014       0
    -0.060    -0.060    -0.015       0
    -0.040    -0.060    -0.015       0
    -0.020    -0.060    -0.015       0
     0.000    -0.060     0.000       0
     0.020    -0.060    -0.002       0
     0.040    -0.060    -0.002       0
     0.060    -0.060    -0.002       0
     0.080    -0.060    -0.005       0
     0.100    -0.060    -0.008       0
     0.120    -0.060    -0.008       0
     0.140    -0.060    -0.005       0
     0.160    -0.060    -0.002       0
     0.180    -0.060    -0.004       0
     0.200    -0.060    -0.006       0
     0.220    -0.060    -0.008       0
     0.240    -0.060    -0.009       0
     0.260    -0.060    -0.010       0
     0.280    -0.060    -0.014       0
     0.300    -0.060    -0.016       0
     0.320    -0.060    -0.019       0
     0.340    -0.060    -0.021       0
    -0.340    -0.040    -0.015       0
    -0.320    -0.040    -0.015       0
    -0.300    -0.040    -0.015       0
    -0.280    -0.040    -0.015       0
    -0.260    -0.040    -0.015       0
    -0.240    -0.040    -0.015       0
    -0.220    -0.040    -0.015       0
    -0.200    -0.040    -0.015       0
    -0.180    -0.040    -0.015       0
    -0.160    -0.040    -0.015       0
    -0.140    -0.040    -0.015       0
    -0.120    -0.040    -0.015       0
    -0.100    -0.040    -0.015       0
    -0.080    -0.040    -0.015       0
    -0.060    -0.040    -0.015       0
    -0.040    -0.040    -0.015       0
    -0.020    -0.040    -0.015       0
     0.000    -0.040     0.000       0
     0.020    -0.040    -0.002       0
     0.040    -0.040    -0.002       0
     0.060    -0.040    -0.002       0
     0.080    -0.040    -0.002       0
     0.100    -0.040    -0.002       0
     0.120    -0.040    -0.002       0
     0.140    -0.040    -0.002       0
     0.160    -0.040    -0.002       0
     0.180    -0.040    -0.002       0
     0.200    -0.040    -0.002       0
     0.220    -0.040    -0.002       0
     0.240    -0.040    -0.002       0
     0.260    -0.040    -0.002       0
     0.280    -0.040    -0.002       0
     0.300    -0.040    -0.002       0
     0.320    -0.040    -0.002       0
     0.340    -0.040    -0.002       0
    -0.340    -0.020    -0.015       0
    -0.320    -0.020    -0.015       0
    -0.300    -0.020    -0.015       0
    -0.280    -0.020    -0.015       0
    -0.260    -0.020    -0.015       0
    -0.240    -0.020    -0.015       0
    -0.220    -0.020    -0.015       0
