    Xi (deg)   Xn       delMag   No. in bin
     0.200    -0.160     0.004   11279
     0.220    -0.160     0.004   10564
     0.240    -0.160     0.004   11320
     0.260    -0.160     0.001   11510
     0.280    -0.160    -0.001   11165
     0.300    -0.160    -0.004   10136
     0.320    -0.160    -0.006   11064
     0.340    -0.160    -0.008    3769
    -0.340    -0.140    -0.011    2336
    -0.320    -0.140    -0.010    8384
    -0.300    -0.140    -0.007    7881
    -0.280    -0.140    -0.004    9187
    -0.260    -0.140    -0.001    8516
    -0.240    -0.140     0.006    9738
    -0.220    -0.140     0.012    8415
    -0.200    -0.140     0.018    8524
    -0.180    -0.140     0.023    8656
    -0.160    -0.140     0.026    8471
    -0.140    -0.140     0.026    9104
    -0.120    -0.140     0.018    9833
    -0.100    -0.140     0.010    1729
    -0.080    -0.140     0.005       0
    -0.060    -0.140     0.007       0
    -0.040    -0.140     0.010       0
    -0.020    -0.140     0.010       0
     0.000    -0.140     0.000       0
     0.020    -0.140    -0.004       0
     0.040    -0.140    -0.004       0
     0.060    -0.140    -0.013       0
     0.080    -0.140    -0.022       0
     0.100    -0.140    -0.017     657
     0.120    -0.140    -0.003    9497
     0.140    -0.140     0.012   11353
     0.160    -0.140     0.010    9793
     0.180    -0.140     0.007   10950
     0.200    -0.140     0.006   11087
     0.220    -0.140     0.006   11011
     0.240    -0.140     0.005   10322
     0.260    -0.140     0.002   10485
     0.280    -0.140    -0.001   11583
     0.300    -0.140    -0.005    9985
     0.320    -0.140    -0.008   11048
     0.340    -0.140    -0.011    3548
    -0.340    -0.120    -0.020    2098
    -0.320    -0.120    -0.018    8073
    -0.300    -0.120    -0.015    8929
    -0.280    -0.120    -0.012    9167
    -0.260    -0.120    -0.007    7972
    -0.240    -0.120    -0.001    9353
    -0.220    -0.120     0.006    8300
    -0.200    -0.120     0.011    7761
    -0.180    -0.120     0.016    8051
    -0.160    -0.120     0.018    8963
    -0.140    -0.120     0.020    9218
    -0.120    -0.120     0.016    8664
    -0.100    -0.120     0.011    1891
    -0.080    -0.120     0.007       0
    -0.060    -0.120     0.009       0
    -0.040    -0.120     0.010       0
    -0.020    -0.120     0.010       0
     0.000    -0.120     0.000       0
     0.020    -0.120    -0.004       0
     0.040    -0.120    -0.004       0
     0.060    -0.120    -0.013       0
     0.080    -0.120    -0.023       0
     0.100    -0.120    -0.021     705
     0.120    -0.120    -0.008   10837
     0.140    -0.120     0.004   11294
     0.160    -0.120     0.004    9757
     0.180    -0.120     0.001   11090
     0.200    -0.120    -0.001   10863
     0.220    -0.120    -0.002   11665
     0.240    -0.120    -0.004   11837
     0.260    -0.120    -0.006   11612
     0.280    -0.120    -0.009   11272
     0.300    -0.120    -0.013   11066
     0.320    -0.120    -0.019   12309
     0.340    -0.120    -0.026    3159
    -0.340    -0.100    -0.030     380
    -0.320    -0.100    -0.026    1439
    -0.300    -0.100    -0.023    1762
    -0.280    -0.100    -0.019    1410
    -0.260    -0.100    -0.014    1273
    -0.240    -0.100    -0.008    1873
    -0.220    -0.100    -0.002    1348
    -0.200    -0.100     0.004    1231
    -0.180    -0.100     0.007    1856
    -0.160    -0.100     0.010    1823
    -0.140    -0.100     0.013    1922
    -0.120    -0.100     0.013    2580
    -0.100    -0.100     0.010     246
    -0.080    -0.100     0.008       0
    -0.060    -0.100     0.009       0
    -0.040    -0.100     0.010       0
    -0.020    -0.100     0.010       0
     0.000    -0.100     0.000       0
     0.020    -0.100    -0.004       0
     0.040    -0.100    -0.004       0
     0.060    -0.100    -0.010       0
     0.080    -0.100    -0.017       0
     0.100    -0.100    -0.019      43
     0.120    -0.100    -0.011    1467
     0.140    -0.100    -0.003    1565
     0.160    -0.100    -0.002    1721
     0.180    -0.100    -0.006    1916
     0.200    -0.100    -0.010    1753
     0.220    -0.100    -0.012    1772
     0.240    -0.100    -0.014    1991
     0.260    -0.100    -0.014    2298
     0.280    -0.100    -0.016    2533
     0.300    -0.100    -0.021    2092
     0.320    -0.100    -0.031    2361
     0.340    -0.100    -0.040     659
    -0.340    -0.080    -0.023       0
    -0.320    -0.080    -0.020       0
    -0.300    -0.080    -0.017       0
    -0.280    -0.080    -0.014       0
    -0.260    -0.080    -0.010       0
    -0.240    -0.080    -0.006       0
    -0.220    -0.080    -0.003       0
    -0.200    -0.080     0.000       0
    -0.180    -0.080     0.001       0
    -0.160    -0.080     0.004       0
    -0.140    -0.080     0.007       0
    -0.120    -0.080     0.010       0
    -0.100    -0.080     0.010       0
    -0.080    -0.080     0.010       0
    -0.060    -0.080     0.010       0
    -0.040    -0.080     0.010       0
    -0.020    -0.080     0.010       0
     0.000    -0.080     0.000       0
     0.020    -0.080    -0.004       0
     0.040    -0.080    -0.004       0
     0.060    -0.080    -0.006       0
     0.080    -0.080    -0.010       0
     0.100    -0.080    -0.012       0
