Name RA DEC l b Epoch
BLG890 17:05:22 -23:34:40 359:26:35 10:28:28 2000.0
BLG891 17:05:16 -24:48:30 358:25:06 09:46:09 2000.0
BLG892 17:05:10 -26:02:20 357:23:54 09:03:39 2000.0
BLG893 17:05:03 -27:16:10 356:22:49 08:21:07 2000.0
BLG894 17:04:56 -28:30:00 355:21:59 07:38:25 2000.0
BLG895 17:04:48 -29:43:50 354:21:14 06:55:42 2000.0
BLG896 17:04:40 -30:57:40 353:20:41 06:12:50 2000.0
BLG897 17:04:31 -32:11:30 352:20:13 05:29:59 2000.0
BLG898 17:04:22 -33:25:20 351:19:55 04:47:00 2000.0
BLG899 17:04:12 -34:39:10 350:19:39 04:04:03 2000.0
BLG900 17:04:01 -35:53:00 349:19:24 03:21:07 2000.0
BLG993 17:06:25 -36:36:50 349:01:58 02:31:31 2000.0
BLG994 17:06:25 -37:50:40 348:02:57 01:47:05 2000.0
BLG995 17:06:25 -39:04:30 347:03:59 01:02:38 2000.0
BLG996 17:06:05 -40:18:20 346:02:45 00:21:12 2000.0
BLG901 17:10:42 -22:57:45 0:40:30 09:50:07 2000.0
BLG902 17:10:39 -24:11:35 359:38:59 09:08:04 2000.0
BLG903 17:10:36 -25:25:25 358:37:42 08:25:49 2000.0
BLG904 17:10:32 -26:39:15 357:36:32 07:43:35 2000.0
BLG905 17:10:29 -27:53:05 356:35:42 07:01:00 2000.0
BLG618 17:10:25 -29:06:55 355:34:56 06:18:28 2000.0
BLG906 17:10:21 -30:20:45 354:34:21 05:35:47 2000.0
BLG907 17:10:17 -31:34:35 353:33:56 04:52:60 2000.0
BLG908 17:10:12 -32:48:25 352:33:31 04:10:16 2000.0
BLG909 17:10:07 -34:02:15 351:33:14 03:27:26 2000.0
BLG910 17:10:02 -35:16:05 350:33:04 02:44:30 2000.0
BLG911 17:16:00 -22:20:50 1:53:42 09:10:58 2000.0
BLG912 17:16:00 -23:34:40 0:52:10 08:29:06 2000.0
BLG913 17:16:00 -24:48:30 359:50:50 07:47:05 2000.0
BLG914 17:16:00 -26:02:20 358:49:43 07:04:55 2000.0
BLG915 17:16:00 -27:16:10 357:48:47 06:22:36 2000.0
BLG916 17:16:00 -30:57:40 354:46:55 04:15:02 2000.0
BLG917 17:16:00 -32:11:30 353:46:33 03:32:20 2000.0
BLG918 17:16:00 -33:25:20 352:46:16 02:49:34 2000.0
BLG919 17:16:00 -34:39:10 351:46:03 02:06:45 2000.0
BLG976 17:16:00 -35:53:00 350:45:54 01:23:54 2000.0
BLG977 17:21:47 -32:48:25 353:58:15 02:11:13 2000.0
BLG978 17:21:52 -34:02:15 352:58:01 01:28:27 2000.0
BLG979 17:21:57 -35:16:05 351:57:49 00:45:41 2000.0
BLG980 17:21:00 -36:29:55 350:50:32 00:13:09 2000.0
BLG973 17:28:10 -33:32:15 354:06:57 00:40:18 2000.0
BLG974 17:27:40 -34:46:05 353:02:06 00:04:27 2000.0
BLG975 17:27:15 -35:59:55 351:57:55 00:32:24 2000.0
BLG920 17:24:18 -31:04:35 355:42:07 02:43:25 2000.0
BLG921 17:24:30 -27:23:05 358:47:29 04:45:19 2000.0
BLG922 17:24:45 -23:32:20 2:02:10 06:50:48 2000.0
BLG923 17:24:45 -24:46:10 1:00:19 06:09:53 2000.0
BLG969 17:20:20 -22:56:00 1:58:27 08:01:35 2000.0
BLG970 17:20:20 -24:09:50 0:56:46 07:20:12 2000.0
BLG971 17:20:20 -25:23:40 359:55:16 06:38:39 2000.0
BLG972 17:20:20 -26:37:30 358:53:56 05:56:60 2000.0
BLG497 17:20:10 -27:51:20 357:51:31 05:17:02 2000.0
BLG498 17:20:10 -29:05:10 356:50:29 04:35:08 2000.0
