         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0565 | 269.15371 | -29.12806 | UK2018_s6_3_3_H_C20537 | 269.15369 | -29.12806 |    0.06 |   0 |   0 | 
2015-BLG-0566 | 268.64588 | -28.92428 | UK2018_s4_2_2_H_C12464 | 268.64583 | -28.92434 |    0.27 |   0 |   0 | 
2015-BLG-0576 | 267.63212 | -29.38264 | UK2018_s5_2_4_H_C8862 | 267.63231 | -29.38225 |    1.52 |   0 |   0 | 
2015-BLG-0577 | 268.78400 | -29.78394 | UK2018_s6_2_1_H_C20496 | 268.78387 | -29.78378 |    0.72 |   0 |   0 | 
2015-BLG-0586 | 268.32875 | -28.76211 | UK2018_s4_1_2_H_C61859 | 268.32932 | -28.76208 |    1.80 |   0 |   0 | 
2015-BLG-0587 | 267.49750 | -29.60231 | UK2018_s5_4_1_H_C8589 | 267.49773 | -29.60219 |    0.83 |   0 |   0 | 
2015-BLG-0616 | 264.02850 | -29.20617 | UK2018_n4_3_4_H_C25091 | 264.02850 | -29.20616 |    0.02 |   0 |   0 | 
2015-BLG-0617 | 267.57867 | -29.70772 | UK2018_s5_1_1_H_C43762 | 267.57895 | -29.70785 |    1.00 |   0 |   0 | 
2015-BLG-0619 | 268.09363 | -29.72536 | UK2018_s5_1_2_H_C35551 | 268.09427 | -29.72551 |    2.09 |   0 |   0 | 
2015-BLG-0624 | 268.88921 | -29.28861 | UK2018_s6_2_4_H_C45543 | 268.88911 | -29.28871 |    0.47 |   0 |   0 | 
2015-BLG-0632 | 265.06021 | -27.66092 | UK2018_n2_1_4_H_C30596 | 265.06008 | -27.66131 |    1.47 |   0 |   0 | 
2015-BLG-0634 | 269.24329 | -29.07319 | UK2018_s6_3_3_H_C39160 | 269.24345 | -29.07348 |    1.14 |   0 |   0 | 
2015-BLG-0645 | 269.31483 | -29.78872 | UK2018_s6_2_2_H_C17362 | 269.31485 | -29.78867 |    0.20 |   0 |   0 | 
2015-BLG-0651 | 268.14562 | -28.60389 | UK2018_s4_3_1_H_C44710 | 268.14622 | -28.60387 |    1.88 |   0 |   0 | 
2015-BLG-0659 | 268.56817 | -29.84450 | UK2018_s6_1_1_H_C1495 | 268.56772 | -29.84423 |    1.70 |   0 |   0 | 
2015-BLG-0675 | 268.17146 | -29.58042 | UK2018_s5_3_2_H_C14076 | 268.17109 | -29.58018 |    1.43 |   0 |   0 | 
2015-BLG-0677 | 269.02504 | -29.25739 | UK2018_s6_1_3_H_C49646 | 269.02546 | -29.25718 |    1.51 |   0 |   0 | 
2015-BLG-0683 | 267.44967 | -30.69961 | UK2018_s2_2_2_K_C9221 | 267.44963 | -30.69961 |    0.11 |   0 |   0 | 
2015-BLG-0688 | 268.08754 | -29.22569 | UK2018_s5_1_3_H_C58576 | 268.08737 | -29.22544 |    1.06 |   0 |   0 | 
2015-BLG-0692 | 268.07971 | -28.13392 | UK2018_s4_3_4_H_C55233 | 268.07968 | -28.13386 |    0.22 |   0 |   0 | 
2015-BLG-0694 | 268.31567 | -29.59772 | UK2018_s5_3_2_H_C8977 | 268.31613 | -29.59780 |    1.48 |   0 |   0 | 
2015-BLG-0699 | 269.02487 | -29.58322 | UK2018_s6_4_2_H_C13043 | 269.02480 | -29.58341 |    0.72 |   0 |   0 | 
2015-BLG-0701 | 269.35604 | -29.28597 | UK2018_s6_2_3_H_C40236 | 269.35615 | -29.28561 |    1.35 |   0 |   0 | 
2015-BLG-0711 | 268.09358 | -29.72522 | UK2018_s5_1_2_H_C35551 | 268.09427 | -29.72551 |    2.38 |   0 |   0 | 
2015-BLG-0720 | 267.76367 | -29.77378 | UK2018_s5_2_1_H_C23559 | 267.76438 | -29.77366 |    2.27 |   0 |   0 | 
2015-BLG-0736 | 267.52363 | -29.35919 | UK2018_s5_1_4_H_C15968 | 267.52382 | -29.35953 |    1.35 |   0 |   0 | 
2015-BLG-0739 | 268.64087 | -28.47661 | UK2018_s4_2_3_H_C17053 | 268.64021 | -28.47668 |    2.12 |   0 |   0 | 
2015-BLG-0749 | 264.95571 | -27.51172 | UK2018_n2_4_4_H_C13132 | 264.95558 | -27.51167 |    0.45 |   0 |   0 | 
2015-BLG-0750 | 268.35971 | -29.64097 | UK2018_s5_2_2_H_C62894 | 268.35969 | -29.64099 |    0.09 |   0 |   0 | 
2015-BLG-0751 | 268.85808 | -29.01464 | UK2018_s6_3_4_H_C61575 | 268.85783 | -29.01512 |    1.91 |   0 |   0 | 
2015-BLG-0754 | 269.25675 | -29.43550 | UK2018_s6_3_2_H_C67298 | 269.25671 | -29.43576 |    0.94 |   0 |   0 | 
2015-BLG-0755 | 268.68100 | -29.37381 | UK2018_s6_2_4_H_C13079 | 268.68040 | -29.37350 |    2.18 |   0 |   0 | 
2015-BLG-0769 | 265.67008 | -27.36883 | UK2018_n2_3_3_H_C56560 | 265.67004 | -27.36888 |    0.22 |   0 |   0 | 
2015-BLG-0770 | 264.93633 | -27.36169 | UK2018_n2_4_4_H_C54144 | 264.93632 | -27.36169 |    0.05 |   0 |   0 | 
2015-BLG-0771 | 267.71213 | -28.52433 | UK2018_c3_2_3_K_C611 | 267.71215 | -28.52432 |    0.09 |   0 |   0 | 
2015-BLG-0812 | 268.43396 | -28.37494 | UK2018_s4_1_3_H_C48746 | 268.43444 | -28.37493 |    1.53 |   0 |   0 | 
2015-BLG-0824 | 267.68842 | -28.71206 | UK2018_c3_3_2_K_C10967 | 267.68839 | -28.71185 |    0.74 |   0 |   0 | 
2015-BLG-0825 | 268.90875 | -29.56289 | UK2018_s6_4_2_H_C19065 | 268.90829 | -29.56339 |    2.31 |   0 |   0 | 
2015-BLG-0831 | 264.45392 | -29.06450 | UK2018_n3_2_1_H_C9104 | 264.45392 | -29.06451 |    0.04 |   0 |   0 | 
2015-BLG-0841 | 266.12287 | -26.64472 | UK2018_n1_4_3_H_C12910 | 266.12288 | -26.64472 |    0.02 |   0 |   0 | 
2015-BLG-0842 | 268.36575 | -29.78275 | UK2018_s5_2_2_H_C19262 | 268.36504 | -29.78300 |    2.39 |   0 |   0 | 
2015-BLG-0856 | 269.09379 | -29.76092 | UK2018_s6_1_2_H_C25764 | 269.09440 | -29.76096 |    1.91 |   0 |   0 | 
2015-BLG-0857 | 269.08979 | -29.17767 | UK2018_s6_4_3_H_C3479 | 269.08972 | -29.17762 |    0.28 |   0 |   0 | 
2015-BLG-0899 | 268.32296 | -28.85892 | UK2018_s4_1_2_H_C31443 | 268.32371 | -28.85904 |    2.41 |   0 |   0 | 
2015-BLG-0900 | 267.93746 | -28.57653 | UK2018_s4_4_1_H_C54602 | 267.93788 | -28.57631 |    1.55 |   0 |   0 | 
2015-BLG-0903 | 265.61000 | -27.45953 | UK2018_n2_3_3_H_C31384 | 265.61001 | -27.45948 |    0.17 |   0 |   0 | 
2015-BLG-0906 | 268.62488 | -27.94350 | UK2018_s3_1_2_H_C42520 | 268.62472 | -27.94352 |    0.50 |   0 |   0 | 
2015-BLG-0911 | 266.11608 | -26.85286 | UK2018_n1_1_3_H_C16492 | 266.11573 | -26.85205 |    3.13 |   0 |   0 | 
